group,ます-form,dictionary form,て-form,ない-form,た-form,meaning,lesson
II,かります,かりる,かりて,かりない,かりた,borrow,22
II,かんがえます,かんがえる,かんがえて,かんがえない,かんがえた,"think, consider",7
II,きます,きる,きて,きない,きた,"put on (a shirt, etc.)",25
II,きをつけます,きをつける,きをつけて,きをつけない,きをつけた,"pay attention, take care",22
II,くれます,くれる,くれて,くれない,くれた,give (me),21
II,しめます,しめる,しめて,しめない,しめた,"close, shut",24
II,しらべます,しらべる,しらべて,しらべない,しらべた,"check, investigate",14
II,すてます,すてる,すてて,すてない,すてた,throw away,20
II,たべます,たべる,たべて,たべない,たべた,eat,18
II,たります,たりる,たりて,たりない,たりた,"be enough, be sufficient",6
II,つかれます,つかれる,つかれて,つかれない,つかれた,get tired,25
II,つけます,つける,つけて,つけない,つけた,turn on,13
II,でかけます,でかける,でかけて,でかけない,でかけた,go out,14
II,できます,できる,できて,できない,できた,"be able to, can",17
II,でます,でる,でて,でない,でた,(change) come out,23
II,でます,でる,でて,でない,でた,go out (of a café),14
II,でます,でる,でて,でない,でた,graduate from (university),16
II,とめます,とめる,とめて,とめない,とめた,"stop, park",14
II,ねます,ねる,ねて,ねない,ねた,"sleep, go to bed",4
II,のりかえます,のりかえる,のりかえて,のりかえない,のりかえた,"change (train, etc.)",16
II,はじめます,はじめる,はじめて,はじめない,はじめた,"start, begin",16
II,まけます,まける,まけて,まけない,まけた,"lose, be beaten",16
II,みせます,みせる,みせて,みせない,みせた,show,21
II,みます,みる,みて,みない,みた,"see, look at, watch",14
II,むかえます,むかえる,むかえて,むかえない,むかえた,"go to meet, welcome",6
II,やめます,やめる,やめて,やめない,やめた,quit or retire from (a company),13
II,やめます,やめる,やめて,やめない,やめた,"stop, give up",21
II,わすれます,わすれる,わすれて,わすれない,わすれた,forget,17
III,あんないします,あんないする,あんないして,あんないしない,あんないした,"show around, show the way",24
III,うんてんします,うんてんする,うんてんして,うんてんしない,うんてんした,drive,18
III,かいものします,かいものする,かいものして,かいものしない,かいものした,do shopping,18
III,きます,くる,きて,こない,きた,come,13
III,けっこんします,けっこんする,けっこんして,けっこんしない,けっこんした,"marry, get married",5
III,けんがくします,けんがくする,けんがくして,けんがくしない,けんがくした,"tour, visit a place to study it",13
III,けんきゅうします,けんきゅうする,けんきゅうして,けんきゅうしない,けんきゅうした,do research,16
III,コピーします,コピーする,コピーして,コピーしない,コピーした,copy,15
III,さんぽします,さんぽする,さんぽして,さんぽしない,さんぽした,take a walk (in a park),14
III,ざんぎょうします,ざんぎょうする,ざんぎょうして,ざんぎょうしない,ざんぎょうした,work overtime,13
III,します,する,して,しない,した,"do, play",17
III,します,する,して,しない,した,put on (tie),6
III,しゅうりします,しゅうりする,しゅうりして,しゅうりしない,しゅうりした,repair,22
III,しゅっちょうします,しゅっちょうする,しゅっちょうして,しゅっちょうしない,しゅっちょうした,go on a business trip,20
III,しょうかいします,しょうかいする,しょうかいして,しょうかいしない,しょうかいした,introduce,17
III,しょくじします,しょくじする,しょくじして,しょくじしない,しょくじした,"have a meal, dine",24
III,しんぱいします,しんぱいする,しんぱいして,しんぱいしない,しんぱいした,worry,13
III,せつめいします,せつめいする,せつめいして,せつめいしない,せつめいした,explain,17
III,せんたくします,せんたくする,せんたくして,せんたくしない,せんたくした,wash (clothes),24
III,そうじします,そうじする,そうじして,そうじしない,そうじした,clean (a room),19
III,つれてきます,つれてくる,つれてきて,つれてこない,つれてきた,bring (someone),24
III,でんわします,でんわする,でんわして,でんわしない,でんわした,phone,16
III,べんきょうします,べんきょうする,べんきょうして,べんきょうしない,べんきょうした,study,4
III,もってきます,もってくる,もってきて,もってこない,もってきた,bring (something),17
III,よやくします,よやくする,よやくして,よやくしない,よやくした,"reserve, book",18
III,りゅうがくします,りゅうがくする,りゅうがくして,りゅうがくしない,りゅうがくした,study abroad,21
